Period,Feature,Horizon,Rank_IC
2022_BEAR,ret_5d,5d,-0.02518100860465812
2022_BEAR,ret_5d,10d,-0.012240902974660978
2022_BEAR,ret_5d,20d,-0.018015847741790453
2022_BEAR,ret_5d,60d,3.180228067783551e-05
2022_BEAR,ret_10d,5d,-0.01718875321511852
2022_BEAR,ret_10d,10d,-0.013651086099889664
2022_BEAR,ret_10d,20d,-0.02919587475400645
2022_BEAR,ret_10d,60d,0.004785334760714928
2022_BEAR,ret_20d,5d,-0.025198370359224745
2022_BEAR,ret_20d,10d,-0.03430032209109844
2022_BEAR,ret_20d,20d,-0.03991582838481665
2022_BEAR,ret_20d,60d,0.013239613959254135
2022_BEAR,ret_60d,5d,-0.008005123318326361
2022_BEAR,ret_60d,10d,-0.0033852302382437432
2022_BEAR,ret_60d,20d,0.009140737688028028
2022_BEAR,ret_60d,60d,0.040905521265341326
2022_BEAR,price_ma20_ratio,5d,-0.025679574166645194
2022_BEAR,price_ma20_ratio,10d,-0.022876716425637784
2022_BEAR,price_ma20_ratio,20d,-0.035395787672729793
2022_BEAR,price_ma20_ratio,60d,0.009732406524010714
2022_BEAR,price_ma60_ratio,5d,-0.024315629802572403
2022_BEAR,price_ma60_ratio,10d,-0.024015291432861713
2022_BEAR,price_ma60_ratio,20d,-0.02129167213032862
2022_BEAR,price_ma60_ratio,60d,0.03512088111788262
2022_BEAR,price_ma120_ratio,5d,-0.011824401490451325
2022_BEAR,price_ma120_ratio,10d,-0.011559440441136432
2022_BEAR,price_ma120_ratio,20d,-0.004589600934130086
2022_BEAR,price_ma120_ratio,60d,0.034187841144362886
2022_BEAR,atr_20,5d,0.004485735594761418
2022_BEAR,atr_20,10d,0.014965454142325092
2022_BEAR,atr_20,20d,0.03113800273495306
2022_BEAR,atr_20,60d,0.050520454058684945
2022_BEAR,atr_60,5d,0.009147489828905517
2022_BEAR,atr_60,10d,0.01803509739263724
2022_BEAR,atr_60,20d,0.030270435656794634
2022_BEAR,atr_60,60d,0.04073365914445376
2022_BEAR,rolling_std_20,5d,-0.001727556145882583
2022_BEAR,rolling_std_20,10d,0.006625965924584674
2022_BEAR,rolling_std_20,20d,0.019522319839649326
2022_BEAR,rolling_std_20,60d,0.045870960623584284
2022_BEAR,rolling_std_60,5d,0.004112888837118328
2022_BEAR,rolling_std_60,10d,0.01392046657389778
2022_BEAR,rolling_std_60,20d,0.026640191321831548
2022_BEAR,rolling_std_60,60d,0.05111820713020112
2022_BEAR,volume_zscore_20,5d,0.0007798629258693713
2022_BEAR,volume_zscore_20,10d,0.0036854151956000614
2022_BEAR,volume_zscore_20,20d,0.0010219233338953076
2022_BEAR,volume_zscore_20,60d,-0.005396392712734549
2022_BEAR,volume_zscore_60,5d,-0.004060003208846303
2022_BEAR,volume_zscore_60,10d,-0.0029633754248973403
2022_BEAR,volume_zscore_60,20d,-0.004594221631106039
2022_BEAR,volume_zscore_60,60d,-0.011032535680211843
2022_BEAR,dollar_volume_log,5d,-0.0007368312915042582
2022_BEAR,dollar_volume_log,10d,0.0026797350779907275
2022_BEAR,dollar_volume_log,20d,0.003041822386597939
2022_BEAR,dollar_volume_log,60d,-0.0016142903255316312
2022_BEAR,volume_ma60_ratio,5d,-0.0026160404970973607
2022_BEAR,volume_ma60_ratio,10d,0.0014764372073473085
2022_BEAR,volume_ma60_ratio,20d,-0.0017677868122005838
2022_BEAR,volume_ma60_ratio,60d,-0.009610441294607667
2022_BEAR,RSI_14,5d,-0.02026307614089831
2022_BEAR,RSI_14,10d,-0.01269244844935729
2022_BEAR,RSI_14,20d,-0.0202461457767454
2022_BEAR,RSI_14,60d,0.028423320807128893
2022_BEAR,MACD_norm,5d,-0.02126402438821688
2022_BEAR,MACD_norm,10d,-0.027592768703346055
2022_BEAR,MACD_norm,20d,-0.026667415968878973
2022_BEAR,MACD_norm,60d,0.030795121919559697
2022_BEAR,MACDh_norm,5d,-0.01590305935048086
2022_BEAR,MACDh_norm,10d,-0.015554566347942573
2022_BEAR,MACDh_norm,20d,-0.03339677425397601
2022_BEAR,MACDh_norm,60d,-0.0123963992029959
2022_BEAR,BB_pct_b,5d,-0.02568302189095631
2022_BEAR,BB_pct_b,10d,-0.021298348497168513
2022_BEAR,BB_pct_b,20d,-0.03324666404410894
2022_BEAR,BB_pct_b,60d,0.006433406673286711
2022_BEAR,ADX_14,5d,0.002770061784451008
2022_BEAR,ADX_14,10d,0.0003702672892509607
2022_BEAR,ADX_14,20d,0.011751431479434768
2022_BEAR,ADX_14,60d,0.028369451637817428
2022_BEAR,rank_ret_5d,5d,-0.02518100860465812
2022_BEAR,rank_ret_5d,10d,-0.012240902974660978
2022_BEAR,rank_ret_5d,20d,-0.018015847741790453
2022_BEAR,rank_ret_5d,60d,3.180228067783551e-05
2022_BEAR,rank_ret_10d,5d,-0.01718875321511852
2022_BEAR,rank_ret_10d,10d,-0.013651086099889664
2022_BEAR,rank_ret_10d,20d,-0.02919587475400645
2022_BEAR,rank_ret_10d,60d,0.004785334760714928
